"date","agegroup","cases_unvac_rate_per100K","cases_partial_vac_rate_per100K","cases_notfull_vac_rate_per100K","cases_full_vac_rate_per100K","cases_boost_vac_rate_per100K","cases_unvac_rate_7ma","cases_partial_vac_rate_7ma","cases_notfull_vac_rate_7ma","cases_full_vac_rate_7ma","cases_boost_vac_rate_7ma"
2022-03-18,"12-17yrs",,,6.93,9.37,10.08,,,5.67,11.03,9.90
2022-03-18,"18-39yrs",,,13.30,20.28,27.81,,,8.70,12.71,19.97
2022-03-18,"40-59yrs",,,10.15,14.12,19.32,,,6.56,11.45,14.70
2022-03-18,"5-11yrs",,,8.47,13.39,0.00,,,6.65,12.40,0.00
2022-03-18,"60+",,,38.47,12.69,9.11,,,24.35,8.74,6.67
2022-03-18,"ALL",,,10.22,15.77,17.23,,,7.86,11.66,12.73
2022-03-19,"0-4yrs",,,8.02,0.00,0.00,,,7.37,0.00,0.00
2022-03-19,"12-17yrs",,,8.84,9.42,6.20,,,6.48,10.24,8.28
2022-03-19,"18-39yrs",,,12.85,12.66,23.75,,,9.04,12.51,20.07
2022-03-19,"40-59yrs",,,9.26,10.69,15.22,,,6.83,11.32,14.66
2022-03-19,"5-11yrs",,,5.86,7.19,0.00,,,6.38,11.72,0.00
2022-03-19,"60+",,,28.25,7.91,7.99,,,24.23,8.28,6.75
2022-03-19,"ALL",,,9.59,10.74,14.36,,,8.01,11.32,12.75
2022-03-20,"0-4yrs",,,5.81,0.00,0.00,,,7.17,0.00,0.00
2022-03-20,"12-17yrs",,,9.48,8.89,10.24,,,6.94,9.81,8.54
2022-03-20,"18-39yrs",,,8.06,9.42,19.98,,,9.43,12.38,20.44
2022-03-20,"40-59yrs",,,7.45,9.49,15.89,,,7.15,11.37,15.00
2022-03-20,"5-11yrs",,,4.63,10.66,0.00,,,6.24,11.45,0.00
2022-03-20,"60+",,,23.61,7.40,7.46,,,24.73,8.41,6.90
2022-03-20,"ALL",,,7.17,9.22,13.43,,,8.11,11.22,13.02
2022-03-21,"0-4yrs",,,5.95,0.00,0.00,,,7.05,0.00,0.00
2022-03-21,"12-17yrs",,,2.53,5.84,4.22,,,6.76,9.21,7.54
2022-03-21,"18-39yrs",,,4.65,6.91,14.89,,,9.36,12.56,20.82
2022-03-21,"40-59yrs",,,5.65,5.71,10.09,,,7.32,11.28,15.00
2022-03-21,"5-11yrs",,,5.34,6.81,0.00,,,6.25,10.67,0.00
2022-03-21,"60+",,,33.18,3.27,4.50,,,27.63,8.27,6.96
2022-03-21,"ALL",,,6.28,6.02,8.97,,,8.19,11.11,13.13
2022-03-22,"0-4yrs",,,4.56,0.00,0.00,,,6.80,0.00,0.00
2022-03-22,"12-17yrs",,,5.05,6.58,10.05,,,6.85,9.15,8.41
2022-03-22,"18-39yrs",,,8.53,8.93,17.53,,,9.86,13.02,21.65
2022-03-22,"40-59yrs",,,7.45,7.97,10.49,,,7.80,11.59,15.21
2022-03-22,"5-11yrs",,,6.05,9.79,0.00,,,6.41,10.69,0.00
2022-03-22,"60+",,,37.25,5.69,5.64,,,31.23,8.31,7.22
2022-03-22,"ALL",,,7.58,8.04,10.36,,,8.49,11.38,13.53
2022-03-23,"0-4yrs",,,7.47,0.00,0.00,,,6.82,0.00,0.00
2022-03-23,"12-17yrs",,,6.32,10.56,16.50,,,7.39,8.98,9.53
2022-03-23,"18-39yrs",,,10.25,11.95,22.97,,,10.02,12.96,21.69
2022-03-23,"40-59yrs",,,7.91,12.65,19.80,,,8.03,11.41,15.48
2022-03-23,"5-11yrs",,,6.20,12.19,0.00,,,6.49,10.42,0.00
2022-03-23,"60+",,,24.03,7.77,8.84,,,30.67,8.08,7.36
2022-03-23,"ALL",,,8.41,11.46,16.11,,,8.60,11.24,13.70
2022-03-24,"0-4yrs",,,8.02,0.00,0.00,,,6.52,0.00,0.00
2022-03-24,"12-17yrs",,,6.32,9.41,15.46,,,6.50,8.58,10.39
2022-03-24,"18-39yrs",,,12.59,15.36,34.40,,,10.03,12.22,23.05
2022-03-24,"40-59yrs",,,9.04,13.39,20.06,,,8.13,10.57,15.84
2022-03-24,"5-11yrs",,,7.63,12.66,0.00,,,6.31,10.38,0.00
2022-03-24,"60+",,,28.92,11.77,10.72,,,30.53,8.07,7.75
2022-03-24,"ALL",,,9.83,13.41,19.94,,,8.44,10.67,14.34
2022-03-25,"0-4yrs",,,9.13,0.00,0.00,,,6.99,0.00,0.00
2022-03-25,"12-17yrs",,,6.32,14.15,11.23,,,6.41,9.26,10.56
2022-03-25,"18-39yrs",,,14.16,17.59,38.19,,,10.16,11.83,24.53
2022-03-25,"40-59yrs",,,10.41,13.73,22.48,,,8.17,10.52,16.29
2022-03-25,"5-11yrs",,,6.10,14.47,0.00,,,5.97,10.54,0.00
2022-03-25,"60+",,,33.84,10.06,11.02,,,29.87,7.70,8.02
2022-03-25,"ALL",,,10.49,15.01,21.74,,,8.48,10.56,14.99
2022-03-26,"0-4yrs",,,10.37,0.00,0.00,,,7.33,0.00,0.00
2022-03-26,"12-17yrs",,,5.06,14.20,14.14,,,5.87,9.95,11.69
2022-03-26,"18-39yrs",,,12.93,16.52,35.56,,,10.17,12.38,26.22
2022-03-26,"40-59yrs",,,8.60,15.28,24.08,,,8.07,11.17,17.56
2022-03-26,"5-11yrs",,,7.69,13.30,0.00,,,6.23,11.41,0.00
2022-03-26,"60+",,,30.07,10.94,10.57,,,30.13,8.13,8.39
2022-03-26,"ALL",,,10.43,14.98,21.42,,,8.60,11.16,16.00
2022-03-27,"0-4yrs",,,9.68,0.00,0.00,,,7.88,0.00,0.00
2022-03-27,"12-17yrs",,,5.70,10.70,14.54,,,5.33,10.21,12.31
2022-03-27,"18-39yrs",,,8.57,11.88,25.51,,,10.24,12.73,27.01
2022-03-27,"40-59yrs",,,7.47,11.98,19.70,,,8.08,11.53,18.10
2022-03-27,"5-11yrs",,,7.58,13.96,0.00,,,6.66,11.88,0.00
2022-03-27,"60+",,,30.13,8.17,9.59,,,31.06,8.24,8.70
2022-03-27,"ALL",,,9.07,11.47,17.02,,,8.87,11.48,16.51
2022-03-28,"0-4yrs",,,8.58,0.00,0.00,,,8.26,0.00,0.00
2022-03-28,"12-17yrs",,,4.43,10.87,6.81,,,5.60,10.92,12.68
2022-03-28,"18-39yrs",,,6.23,8.86,21.14,,,10.47,13.01,27.90
2022-03-28,"40-59yrs",,,7.70,8.91,15.50,,,8.37,11.99,18.87
2022-03-28,"5-11yrs",,,7.75,11.28,0.00,,,7.00,12.52,0.00
2022-03-28,"60+",,,38.06,6.44,7.78,,,31.76,8.69,9.17
2022-03-28,"ALL",,,8.54,9.06,13.68,,,9.19,11.92,17.18
